Country,League,Season,Stadium,Team,Capacity,Total,Average,Games
England,WSL,2023-2024,Meadow Park,Arsenal FC,"4,502.00","14,417.00","3,604.00",4
England,WSL,2023-2024,Emirates Stadium,Arsenal FC,"60,704.00","312,016.00","52,003.00",6
England,WSL,2023-2024,Bescot Stadium,Aston Villa,"11,300.00","16,097.00","2,300.00",7
England,WSL,2023-2024,Villa Park,Aston Villa,"42,095.00","26,812.00","8,937.00",3
England,WSL,2023-2024,American Express Community Stadium,Brighton & Hove Albion,"31,800.00","6,951.00","6,951.00",1
England,WSL,2023-2024,Broadfield Stadium,Brighton & Hove Albion,"6,134.00","21,002.00","2,334.00",9
England,WSL,2023-2024,Ashton Gate,Bristol City,"27,000.00","59,071.00","5,907.00",10
England,WSL,2023-2024,Stamford Bridge,Chelsea FC,"41,837.00","81,021.00","20,255.00",4
England,WSL,2023-2024,Kingsmeadow,Chelsea FC,"4,850.00","14,815.00","2,469.00",6
England,WSL,2023-2024,Walton Hall Park,Everton FC,"1,000.00","18,420.00","1,842.00",10
England,WSL,2023-2024,Pirelli Stadium,Leicester City,"6,912.00","1,064.00","1,064.00",1
England,WSL,2023-2024,Farley Way Stadium,Leicester City,"1,400.00","5,320.00","1,330.00",4
England,WSL,2023-2024,King Power Stadium,Leicester City,"32,261.00","12,250.00","2,450.00",5
England,WSL,2023-2024,Prenton Park,Liverpool FC,"16,587.00","15,495.00","1,937.00",8
England,WSL,2023-2024,Anfield,Liverpool FC,"53,394.00","23,088.00","23,088.00",1
England,WSL,2023-2024,Joie Stadium,Manchester City,"7,000.00","28,309.00","3,145.00",9
England,WSL,2023-2024,Etihad Stadium,Manchester City,"53,400.00","40,086.00","40,086.00",1
England,WSL,2023-2024,Leigh Sports Village,Manchester United,"12,000.00","38,575.00","4,286.00",9
England,WSL,2023-2024,Old Trafford,Manchester United,"74,140.00","43,615.00","43,615.00",1
England,WSL,2023-2024,The Breyer Group Stadium,Tottenham Hotspur,"9,271.00","12,692.00","1,587.00",8
England,WSL,2023-2024,Tottenham Hotspur Stadium,Tottenham Hotspur,"62,062.00","19,480.00","19,480.00",1
England,WSL,2023-2024,Chigwell Construction,West Ham United,"6,078.00","13,970.00","1,397.00",10
England,WSL,2022-2023,Meadow Park,Arsenal FC,"4,502.00","30,659.00","3,832.00",8
England,WSL,2022-2023,Emirates Stadium,Arsenal FC,"60,704.00","134,852.00","44,951.00",3
England,WSL,2022-2023,Bescot Stadium,Aston Villa,"11,300.00","22,331.00","3,190.00",7
England,WSL,2022-2023,Villa Park,Aston Villa,"42,095.00","23,853.00","5,963.00",4
England,WSL,2022-2023,American Express Community Stadium,Brighton & Hove Albion,"31,800.00","5,220.00","5,220.00",1
England,WSL,2022-2023,Broadfield Stadium,Brighton & Hove Albion,"6,134.00","32,480.00","3,248.00",10
England,WSL,2022-2023,Stamford Bridge,Chelsea FC,"41,837.00","38,350.00","38,350.00",1
England,WSL,2022-2023,Kingsmeadow,Chelsea FC,"4,850.00","25,497.00","2,550.00",10
England,WSL,2022-2023,Goodison Park,Everton FC,"39,414.00","22,161.00","22,161.00",1
England,WSL,2022-2023,Walton Hall Park,Everton FC,"1,000.00","10,671.00","1,067.00",10
England,WSL,2022-2023,King Power Stadium,Leicester City,"32,261.00","33,294.00","3,027.00",11
England,WSL,2022-2023,Prenton Park,Liverpool FC,"16,587.00","24,763.00","2,476.00",10
England,WSL,2022-2023,Anfield,Liverpool FC,"53,394.00","27,574.00","27,574.00",1
England,WSL,2022-2023,Etihad Stadium,Manchester City,"53,400.00","44,259.00","44,259.00",1
England,WSL,2022-2023,Joie Stadium,Manchester City,"7,000.00","34,884.00","3,488.00",10
England,WSL,2022-2023,Leigh Sports Village,Manchester United,"12,000.00","53,702.00","5,967.00",9
England,WSL,2022-2023,Old Trafford,Manchester United,"74,140.00","58,115.00","29,058.00",2
England,WSL,2022-2023,Select Car Leasing Stadium,Reading FC,"24,161.00","25,654.00","2,332.00",11
England,WSL,2022-2023,Tottenham Hotspur Stadium,Tottenham Hotspur,"62,062.00","32,537.00","10,846.00",3
England,WSL,2022-2023,The Breyer Group Stadium,Tottenham Hotspur,"9,271.00","12,785.00","1,598.00",8
England,WSL,2022-2023,Chigwell Construction,West Ham United,"6,078.00","17,323.00","1,575.00",11
England,WSL,2021-2022,Meadow Park,Arsenal FC,"4,502.00","16,839.00","1,871.00",9
England,WSL,2021-2022,Emirates Stadium,Arsenal FC,"60,704.00","22,143.00","11,072.00",2
England,WSL,2021-2022,Bescot Stadium,Aston Villa,"11,300.00","3,204.00",320.00,10
England,WSL,2021-2022,Villa Park,Aston Villa,"42,095.00","8,367.00","8,367.00",1
England,WSL,2021-2022,Damson Park,Birmingham City,"3,050.00","1,987.00",662.00,3
England,WSL,2021-2022,St Andrew’s,Birmingham City,"29,409.00","6,116.00",765.00,8
England,WSL,2021-2022,Broadfield Stadium,Brighton & Hove Albion,"6,134.00","13,592.00","1,510.00",9
England,WSL,2021-2022,American Express Community Stadium,Brighton & Hove Albion,"31,800.00","5,830.00","2,915.00",2
England,WSL,2021-2022,Kingsmeadow,Chelsea FC,"4,850.00","30,182.00","2,744.00",11
England,WSL,2021-2022,Walton Hall Park,Everton FC,"1,000.00","5,233.00",523.00,10
England,WSL,2021-2022,Goodison Park,Everton FC,"39,414.00","5,998.00","5,998.00",1
England,WSL,2021-2022,Farley Way Stadium,Leicester City,"1,400.00","5,613.00",802.00,7
England,WSL,2021-2022,King Power Stadium,Leicester City,"32,261.00","4,402.00","1,101.00",4
England,WSL,2021-2022,Joie Stadium,Manchester City,"7,000.00","17,611.00","1,601.00",11
England,WSL,2021-2022,Old Trafford,Manchester United,"74,140.00","20,241.00","20,241.00",1
England,WSL,2021-2022,Leigh Sports Village,Manchester United,"12,000.00","12,656.00","1,266.00",10
England,WSL,2021-2022,Select Car Leasing Stadium,Reading FC,"24,161.00","3,619.00",329.00,11
England,WSL,2021-2022,The Hive Stadium,Tottenham Hotspur,"6,500.00","4,150.00",461.00,9
England,WSL,2021-2022,Tottenham Hotspur Stadium,Tottenham Hotspur,"62,062.00","8,675.00","4,338.00",2
England,WSL,2021-2022,Chigwell Construction,West Ham United,"6,078.00","13,254.00","1,205.00",11
England,WSL,2020-2021,Meadow Park,Arsenal FC,"4,502.00",0.00,0.00,11
England,WSL,2020-2021,Bescot Stadium,Aston Villa,"11,300.00",0.00,0.00,8
England,WSL,2020-2021,Villa Park,Aston Villa,"42,095.00",0.00,0.00,3
England,WSL,2020-2021,Damson Park,Birmingham City,"3,050.00",0.00,0.00,8
England,WSL,2020-2021,St George’s Park NFC,Birmingham City,"1,000.00",0.00,0.00,3
England,WSL,2020-2021,American Express Elite Football Performance Centre,Brighton & Hove Albion,500.00,0.00,0.00,1
England,WSL,2020-2021,Broadfield Stadium,Brighton & Hove Albion,"6,134.00",822.00,82.00,10
England,WSL,2020-2021,Ashton Gate,Bristol City,"27,000.00",0.00,0.00,1
England,WSL,2020-2021,Twerton Park,Bristol City,"8,840.00",0.00,0.00,10
England,WSL,2020-2021,Kingsmeadow,Chelsea FC,"4,850.00",266.00,24.00,11
England,WSL,2020-2021,Walton Hall Park,Everton FC,"1,000.00",0.00,0.00,11
England,WSL,2020-2021,Joie Stadium,Manchester City,"7,000.00",0.00,0.00,11
England,WSL,2020-2021,Leigh Sports Village,Manchester United,"12,000.00",0.00,0.00,10
England,WSL,2020-2021,Old Trafford,Manchester United,"74,140.00",0.00,0.00,1
England,WSL,2020-2021,Select Car Leasing Stadium,Reading FC,"24,161.00","1,056.00",96.00,11
England,WSL,2020-2021,The Hive Stadium,Tottenham Hotspur,"6,500.00",0.00,0.00,9
England,WSL,2020-2021,Tottenham Hotspur Stadium,Tottenham Hotspur,"62,062.00",0.00,0.00,1
England,WSL,2020-2021,Chigwell Construction,West Ham United,"6,078.00",734.00,67.00,11
England,WSL,2019-2020,Meadow Park,Arsenal FC,"4,502.00","15,462.00","2,209.00",7
England,WSL,2019-2020,Damson Park,Birmingham City,"3,050.00","5,248.00",875.00,6
England,WSL,2019-2020,American Express Community Stadium,Brighton & Hove Albion,"31,800.00","6,841.00","1,710.00",4
England,WSL,2019-2020,Broadfield Stadium,Brighton & Hove Albion,"6,134.00","4,958.00",992.00,5
England,WSL,2019-2020,Stoke Gifford Stadium,Bristol City,"1,500.00","7,289.00","1,215.00",6
England,WSL,2019-2020,Stamford Bridge,Chelsea FC,"41,837.00","24,564.00","24,564.00",1
England,WSL,2019-2020,Kingsmeadow,Chelsea FC,"4,850.00","23,363.00","3,338.00",7
England,WSL,2019-2020,Walton Hall Park,Everton FC,"1,000.00",893.00,893.00,1
England,WSL,2019-2020,DCBL Stadium,Everton FC,"13,350.00",0.00,0.00,1
England,WSL,2019-2020,Haig Avenue,Everton FC,"6,008.00","1,751.00",350.00,5
England,WSL,2019-2020,Prenton Park,Liverpool FC,"16,587.00","3,474.00",869.00,4
England,WSL,2019-2020,Anfield,Liverpool FC,"53,394.00","23,500.00","23,500.00",1
England,WSL,2019-2020,Lookers Vauxhall Stadium,Liverpool FC,"5,376.00",660.00,660.00,1
England,WSL,2019-2020,Etihad Stadium,Manchester City,"53,400.00","31,213.00","31,213.00",1
England,WSL,2019-2020,Joie Stadium,Manchester City,"7,000.00","17,190.00","2,149.00",8
England,WSL,2019-2020,Leigh Sports Village,Manchester United,"12,000.00","14,709.00","2,101.00",7
England,WSL,2019-2020,Adams Park,Reading FC,"10,284.00","7,153.00",894.00,8
England,WSL,2019-2020,The Hive Stadium,Tottenham Hotspur,"6,500.00","4,169.00",834.00,5
England,WSL,2019-2020,Tottenham Hotspur Stadium,Tottenham Hotspur,"62,062.00","38,262.00","38,262.00",1
England,WSL,2019-2020,Cheshunt Stadium,Tottenham Hotspur,?,996.00,996.00,1
England,WSL,2019-2020,Rush Green Stadium,West Ham United,"2,000.00","10,223.00","1,704.00",6
England,WSL,2019-2020,London Stadium,West Ham United,"60,000.00","24,790.00","24,790.00",1
England,WSL,2018-2019,Meadow Park,Arsenal FC,"4,502.00","15,462.00","2,209.00",7
